id:ID, de:START_ID, a:END_ID, tipo:TYPE, order:INT
0,0,12,AUTHORED,1
1,1,12,AUTHORED,2
2,1,13,AUTHORED,1
3,2,14,AUTHORED,1
4,3,14,AUTHORED,2
5,0,15,AUTHORED,1
6,4,16,AUTHORED,1
7,5,16,AUTHORED,2
8,1,17,AUTHORED,1
9,0,17,AUTHORED,2
10,0,18,AUTHORED,1
11,3,19,AUTHORED,1
12,4,20,AUTHORED,1
13,5,21,AUTHORED,1
14,2,22,AUTHORED,1
15,4,23,AUTHORED,1
16,13,12,CITES,
17,14,12,CITES,
18,14,13,CITES,
19,15,13,CITES,
20,16,14,CITES,
21,16,17,CITES,
22,16,12,CITES,
23,17,13,CITES,
24,17,15,CITES,
25,21,16,CITES,
26,12,24,ABOUT,
27,12,26,ABOUT,
28,13,24,ABOUT,
29,13,25,ABOUT,
30,14,26,ABOUT,
31,15,27,ABOUT,
32,16,24,ABOUT,
33,16,28,ABOUT,
34,17,29,ABOUT,
35,18,24,ABOUT,
36,19,26,ABOUT,
37,20,24,ABOUT,
38,21,28,ABOUT,
39,21,29,ABOUT,
40,22,25,ABOUT,
41,23,24,ABOUT,
42,18,9,MENTIONS,
43,18,6,MENTIONS,
44,19,9,MENTIONS,
45,19,7,MENTIONS,
46,20,7,MENTIONS,
47,20,4,MENTIONS,
48,21,7,MENTIONS,
49,22,10,MENTIONS,
50,22,7,MENTIONS,
51,14,7,MENTIONS,
52,0,6,MEMBER_OF,
53,1,7,MEMBER_OF,
54,2,6,MEMBER_OF,
55,3,7,MEMBER_OF,
56,4,8,MEMBER_OF,
57,5,8,MEMBER_OF,
58,0,9,WORKED_ON,
59,1,9,WORKED_ON,
60,3,9,WORKED_ON,
61,2,10,WORKED_ON,
62,5,10,WORKED_ON,
63,4,11,WORKED_ON,
