id:ID, de:START_ID, a:END_ID, tipo:TYPE, nota:INT, order:INT
0,0,12,AUTHORED,,1
1,1,12,AUTHORED,,2
2,1,13,AUTHORED,,1
3,2,14,AUTHORED,,1
4,3,14,AUTHORED,,2
5,0,15,AUTHORED,,1
6,4,16,AUTHORED,,1
7,5,16,AUTHORED,,2
8,1,17,AUTHORED,,1
9,0,17,AUTHORED,,2
10,0,18,AUTHORED,,1
11,3,19,AUTHORED,,1
12,4,20,AUTHORED,,1
13,5,21,AUTHORED,,1
14,2,22,AUTHORED,,1
15,4,23,AUTHORED,,1
16,13,12,CITES,,
17,14,12,CITES,,
18,14,13,CITES,,
19,15,13,CITES,,
20,16,14,CITES,,
21,16,17,CITES,,
22,16,12,CITES,,
23,17,13,CITES,,
24,17,15,CITES,,
25,21,16,CITES,,
26,12,24,ABOUT,,
27,12,26,ABOUT,,
28,13,24,ABOUT,,
29,13,25,ABOUT,,
30,14,26,ABOUT,,
31,15,27,ABOUT,,
32,16,24,ABOUT,,
33,16,28,ABOUT,,
34,17,29,ABOUT,,
35,18,24,ABOUT,,
36,19,26,ABOUT,,
37,20,24,ABOUT,,
38,21,28,ABOUT,,
39,21,29,ABOUT,,
40,22,25,ABOUT,,
41,23,24,ABOUT,,
42,18,9,MENTIONS,,
43,18,6,MENTIONS,,
44,19,9,MENTIONS,,
45,19,7,MENTIONS,,
46,20,7,MENTIONS,,
47,20,4,MENTIONS,,
48,21,7,MENTIONS,,
49,22,10,MENTIONS,,
50,22,7,MENTIONS,,
51,14,7,MENTIONS,,
52,0,6,MEMBER_OF,,
53,1,7,MEMBER_OF,,
54,2,6,MEMBER_OF,,
55,3,7,MEMBER_OF,,
56,4,8,MEMBER_OF,,
57,5,8,MEMBER_OF,,
58,0,9,WORKED_ON,,
59,1,9,WORKED_ON,,
60,3,9,WORKED_ON,,
61,2,10,WORKED_ON,,
62,5,10,WORKED_ON,,
63,4,11,WORKED_ON,,
64,30,33,AUTHORED,,1
65,30,34,AUTHORED,,1
66,30,35,AUTHORED,,1
67,30,36,AUTHORED,,1
68,30,37,AUTHORED,,1
69,30,38,AUTHORED,,1
70,31,39,AUTHORED,,1
71,31,40,AUTHORED,,1
72,31,41,AUTHORED,,1
73,31,42,AUTHORED,,1
74,31,43,AUTHORED,,1
75,31,44,AUTHORED,,1
76,32,45,AUTHORED,,1
77,32,46,AUTHORED,,1
78,32,47,AUTHORED,,1
79,32,48,AUTHORED,,1
80,32,49,AUTHORED,,1
81,32,50,AUTHORED,,1
82,5,51,AUTHORED,,1
83,5,52,AUTHORED,,1
84,5,53,AUTHORED,,1
85,4,54,AUTHORED,,1
86,4,55,AUTHORED,,1
87,4,56,AUTHORED,,1
88,34,33,CITES,,
89,36,33,CITES,,
90,41,35,CITES,,
91,45,41,CITES,,
92,51,46,CITES,,
93,54,41,CITES,,
94,33,24,ABOUT,,
95,34,24,ABOUT,,
96,35,24,ABOUT,,
97,36,24,ABOUT,,
98,37,24,ABOUT,,
99,38,24,ABOUT,,
100,39,24,ABOUT,,
101,40,24,ABOUT,,
102,41,24,ABOUT,,
103,42,24,ABOUT,,
104,43,24,ABOUT,,
105,44,24,ABOUT,,
106,45,24,ABOUT,,
107,46,24,ABOUT,,
108,47,24,ABOUT,,
109,48,24,ABOUT,,
110,49,24,ABOUT,,
111,50,24,ABOUT,,
112,51,26,ABOUT,,
113,52,26,ABOUT,,
114,53,26,ABOUT,,
115,54,28,ABOUT,,
116,55,28,ABOUT,,
117,56,25,ABOUT,,
118,33,57,ABOUT,,
119,34,57,ABOUT,,
120,35,57,ABOUT,,
121,36,57,ABOUT,,
122,41,57,ABOUT,,
123,42,57,ABOUT,,
124,49,58,ABOUT,,
125,50,58,ABOUT,,
126,51,58,ABOUT,,
127,52,58,ABOUT,,
128,53,58,ABOUT,,
129,54,58,ABOUT,,
130,5,21,REVIEWED_BY,7,
131,5,21,REVIEWED_BY,8,
132,2,36,REVIEWED_BY,6,
133,30,45,REVIEWED_BY,9,
