titulo,anio,tipo
Grafos de conocimiento para agentes,2021,Paper
Consultas declarativas sobre property graphs,2022,Paper
Memoria episódica en LLMs,2024,Paper
Índices adaptativos para grafos,2023,Paper
Recuperación aumentada con grafos,2025,Paper
Recuperación aumentada con grafos,2025,Paper
Recuperación aumentada con grafo,2025,Paper
Supernodos: anatomía de un cuello de botella,2024,Paper
Notas de la reunión de arranque,2023,Nota
Bitácora del experimento K-7,2024,Nota
Informe anual del Proyecto Kira,2024,Informe
Informe de revisión por pares 2025,2025,Informe
Informe técnico del Proyecto Oráculo,2023,Informe
Resumen del taller de GQL,2025,Nota
Grafos de conocimiento en producción,2024,Paper
Unificación de entidades en knowledge graphs,2024,Paper
Razonamiento multihop sobre grafos de conocimiento,2024,Paper
Consulta declarativa de knowledge graphs a escala,2024,Paper
Control de calidad en grafos de conocimiento,2024,Paper
Materialización incremental de reglas en grafos,2024,Paper
Anclaje semántico para grafos de conocimiento,2024,Paper
Versionado de ontologías en grafos,2024,Paper
GraphRAG: recuperación aumentada con grafos,2024,Paper
Reranking de párrafos con caminos de grafos,2024,Paper
Indexación de vecindarios para recuperación,2024,Paper
Fusión de grafos y texto para respuestas,2024,Paper
Evaluación de sistemas GraphRAG,2024,Paper
Memoria gráfica para asistentes conversacionales,2024,Paper
Particionado de knowledge graphs para recuperación,2024,Paper
Agregación de evidencias en grafos,2024,Paper
Grafos de conocimiento temporales,2025,Paper
Streaming de aristas sobre grafos de conocimiento,2025,Paper
Memoria de trabajo en agentes con grafos,2025,Paper
Planificación de tareas con memoria gráfica,2025,Paper
Consolidación de recuerdos en agentes,2025,Paper
RAG híbrido: vectorial más grafos,2025,Paper
Recuperación guiada por ontologías,2025,Paper
Lenguajes de consulta para grafos de conocimiento,2025,Paper
