nombre,orcid,afiliacion
Ana,0000-0001-2345-0001,Universidad de Lira
Beto,0000-0002-3456-0002,Instituto Neurónica
Carla,0000-0003-4567-0003,Universidad de Lira
Dani,0000-0004-5678-0004,Instituto Neurónica
Elena,0000-0005-6789-0005,Laboratorio GrafosYA
Fabio,0000-0006-7890-0006,Laboratorio GrafosYA
Gaby,0000-0007-8901-0007,Universidad de Lira
Hugo,0000-0008-9012-0008,Instituto Neurónica
Iris,0000-0009-0123-0009,Universidad de Lira
ana garcia,,
Ana G.,,
ana garcía,0000-0001-2345-1,
Ana García (Universidad de Lira),,Universidad de Lira
Beto,0000-0002-3456-0002,Instituto Neurónica
