desde,hasta,tipo,desde_anio,hasta_anio,order
Ana,Grafos de conocimiento para agentes,AUTHORED,,,1
Beto,Grafos de conocimiento para agentes,AUTHORED,,,2
Beto,Consultas declarativas sobre property graphs,AUTHORED,,,1
Carla,Memoria episódica en LLMs,AUTHORED,,,1
Dani,Memoria episódica en LLMs,AUTHORED,,,2
Ana,Índices adaptativos para grafos,AUTHORED,,,1
Elena,Recuperación aumentada con grafos,AUTHORED,,,1
Fabio,Recuperación aumentada con grafos,AUTHORED,,,2
Beto,Supernodos: anatomía de un cuello de botella,AUTHORED,,,1
Ana,Supernodos: anatomía de un cuello de botella,AUTHORED,,,2
Ana,Notas de la reunión de arranque,AUTHORED,,,1
Dani,Bitácora del experimento K-7,AUTHORED,,,1
Elena,Informe anual del Proyecto Kira,AUTHORED,,,1
Fabio,Informe de revisión por pares 2025,AUTHORED,,,1
Carla,Informe técnico del Proyecto Oráculo,AUTHORED,,,1
Elena,Resumen del taller de GQL,AUTHORED,,,1
Consultas declarativas sobre property graphs,Grafos de conocimiento para agentes,CITES,,,
Memoria episódica en LLMs,Grafos de conocimiento para agentes,CITES,,,
Memoria episódica en LLMs,Consultas declarativas sobre property graphs,CITES,,,
Índices adaptativos para grafos,Consultas declarativas sobre property graphs,CITES,,,
Recuperación aumentada con grafos,Memoria episódica en LLMs,CITES,,,
Recuperación aumentada con grafos,Supernodos: anatomía de un cuello de botella,CITES,,,
Recuperación aumentada con grafos,Grafos de conocimiento para agentes,CITES,,,
Supernodos: anatomía de un cuello de botella,Consultas declarativas sobre property graphs,CITES,,,
Supernodos: anatomía de un cuello de botella,Índices adaptativos para grafos,CITES,,,
Informe de revisión por pares 2025,Recuperación aumentada con grafos,CITES,,,
Grafos de conocimiento para agentes,grafos de conocimiento,ABOUT,,,
Grafos de conocimiento para agentes,memoria de agentes,ABOUT,,,
Consultas declarativas sobre property graphs,grafos de conocimiento,ABOUT,,,
Consultas declarativas sobre property graphs,lenguajes de consulta,ABOUT,,,
Memoria episódica en LLMs,memoria de agentes,ABOUT,,,
Índices adaptativos para grafos,índices y almacenamiento,ABOUT,,,
Recuperación aumentada con grafos,grafos de conocimiento,ABOUT,,,
Recuperación aumentada con grafos,RAG,ABOUT,,,
Supernodos: anatomía de un cuello de botella,rendimiento,ABOUT,,,
Notas de la reunión de arranque,grafos de conocimiento,ABOUT,,,
Bitácora del experimento K-7,memoria de agentes,ABOUT,,,
Informe anual del Proyecto Kira,grafos de conocimiento,ABOUT,,,
Informe de revisión por pares 2025,RAG,ABOUT,,,
Informe de revisión por pares 2025,rendimiento,ABOUT,,,
Informe técnico del Proyecto Oráculo,lenguajes de consulta,ABOUT,,,
Resumen del taller de GQL,grafos de conocimiento,ABOUT,,,
Notas de la reunión de arranque,Proyecto Kira,MENTIONS,,,
Notas de la reunión de arranque,Universidad de Lira,MENTIONS,,,
Bitácora del experimento K-7,Proyecto Kira,MENTIONS,,,
Bitácora del experimento K-7,Instituto Neurónica,MENTIONS,,,
Informe anual del Proyecto Kira,Instituto Neurónica,MENTIONS,,,
Informe anual del Proyecto Kira,Elena,MENTIONS,,,
Informe de revisión por pares 2025,Instituto Neurónica,MENTIONS,,,
