id:ID, de:START_ID, a:END_ID, tipo:TYPE, desde_anio:INT, hasta_anio:INT, order:INT
0,0,13,AUTHORED,,,1
1,1,13,AUTHORED,,,2
2,1,14,AUTHORED,,,1
3,2,15,AUTHORED,,,1
4,3,15,AUTHORED,,,2
5,0,16,AUTHORED,,,1
6,4,17,AUTHORED,,,1
7,5,17,AUTHORED,,,2
8,1,19,AUTHORED,,,1
9,0,19,AUTHORED,,,2
10,0,20,AUTHORED,,,1
11,3,21,AUTHORED,,,1
12,4,22,AUTHORED,,,1
13,5,23,AUTHORED,,,1
14,2,24,AUTHORED,,,1
15,4,25,AUTHORED,,,1
16,14,13,CITES,,,
17,15,13,CITES,,,
18,15,14,CITES,,,
19,16,14,CITES,,,
20,17,15,CITES,,,
21,17,19,CITES,,,
22,17,13,CITES,,,
23,19,14,CITES,,,
24,19,16,CITES,,,
25,23,17,CITES,,,
26,13,50,ABOUT,,,
27,13,52,ABOUT,,,
28,14,50,ABOUT,,,
29,14,51,ABOUT,,,
30,15,52,ABOUT,,,
31,16,53,ABOUT,,,
32,17,50,ABOUT,,,
33,17,54,ABOUT,,,
34,19,55,ABOUT,,,
35,20,50,ABOUT,,,
36,21,52,ABOUT,,,
37,22,50,ABOUT,,,
38,23,54,ABOUT,,,
39,23,55,ABOUT,,,
40,24,51,ABOUT,,,
41,25,50,ABOUT,,,
42,20,58,MENTIONS,,,
43,20,59,MENTIONS,,,
44,21,58,MENTIONS,,,
45,21,60,MENTIONS,,,
46,22,60,MENTIONS,,,
47,22,4,MENTIONS,,,
48,23,60,MENTIONS,,,
49,24,61,MENTIONS,,,
50,24,60,MENTIONS,,,
51,15,60,MENTIONS,,,
52,0,59,MEMBER_OF,2018,,
53,1,60,MEMBER_OF,2018,2024,
54,2,59,MEMBER_OF,2020,,
55,3,60,MEMBER_OF,2021,,
56,4,62,MEMBER_OF,2019,,
57,5,62,MEMBER_OF,2019,,
58,0,58,WORKED_ON,,,
59,1,58,WORKED_ON,,,
60,3,58,WORKED_ON,,,
61,2,61,WORKED_ON,,,
62,5,61,WORKED_ON,,,
63,4,63,WORKED_ON,,,
64,6,26,AUTHORED,,,1
65,6,27,AUTHORED,,,1
66,6,28,AUTHORED,,,1
67,6,29,AUTHORED,,,1
68,6,30,AUTHORED,,,1
69,6,31,AUTHORED,,,1
70,7,32,AUTHORED,,,1
71,7,33,AUTHORED,,,1
72,7,34,AUTHORED,,,1
73,7,35,AUTHORED,,,1
74,7,36,AUTHORED,,,1
75,7,37,AUTHORED,,,1
76,8,38,AUTHORED,,,1
77,8,39,AUTHORED,,,1
78,8,40,AUTHORED,,,1
79,8,41,AUTHORED,,,1
80,8,42,AUTHORED,,,1
81,8,43,AUTHORED,,,1
82,5,44,AUTHORED,,,1
83,5,45,AUTHORED,,,1
84,5,46,AUTHORED,,,1
85,4,47,AUTHORED,,,1
86,4,48,AUTHORED,,,1
87,4,49,AUTHORED,,,1
88,27,26,CITES,,,
89,29,26,CITES,,,
90,35,28,CITES,,,
91,38,35,CITES,,,
92,44,39,CITES,,,
93,47,35,CITES,,,
94,30,50,ABOUT,,,
95,31,50,ABOUT,,,
96,32,50,ABOUT,,,
97,33,50,ABOUT,,,
98,38,50,ABOUT,,,
99,43,50,ABOUT,,,
100,44,52,ABOUT,,,
101,45,52,ABOUT,,,
102,46,52,ABOUT,,,
103,47,54,ABOUT,,,
104,48,54,ABOUT,,,
105,49,51,ABOUT,,,
106,56,50,SUB_TEMA_DE,,,
107,57,50,SUB_TEMA_DE,,,
108,52,50,SUB_TEMA_DE,,,
109,26,56,ABOUT,,,
110,27,56,ABOUT,,,
111,28,56,ABOUT,,,
112,29,56,ABOUT,,,
113,34,57,ABOUT,,,
114,35,57,ABOUT,,,
115,36,57,ABOUT,,,
116,37,57,ABOUT,,,
117,39,52,ABOUT,,,
118,40,52,ABOUT,,,
119,41,52,ABOUT,,,
120,42,52,ABOUT,,,
121,5,64,REALIZA,0,2025,
122,5,65,REALIZA,,,
123,2,66,REALIZA,,,
124,6,67,REALIZA,,,
125,64,23,SOBRE,,,
126,65,23,SOBRE,,,
127,66,29,SOBRE,,,
128,67,38,SOBRE,,,
129,65,64,CONTRARRESTA,2025,,
130,26,68,PUBLICADO_EN,,,
131,27,68,PUBLICADO_EN,,,
132,28,68,PUBLICADO_EN,,,
133,29,68,PUBLICADO_EN,,,
134,30,68,PUBLICADO_EN,,,
135,31,68,PUBLICADO_EN,,,
136,32,68,PUBLICADO_EN,,,
137,33,68,PUBLICADO_EN,,,
138,34,69,PUBLICADO_EN,,,
139,35,69,PUBLICADO_EN,,,
140,36,69,PUBLICADO_EN,,,
141,37,69,PUBLICADO_EN,,,
142,38,69,PUBLICADO_EN,,,
143,39,69,PUBLICADO_EN,,,
144,40,69,PUBLICADO_EN,,,
145,41,69,PUBLICADO_EN,,,
146,42,70,PUBLICADO_EN,,,
147,43,70,PUBLICADO_EN,,,
148,44,70,PUBLICADO_EN,,,
149,45,70,PUBLICADO_EN,,,
150,46,70,PUBLICADO_EN,,,
151,47,70,PUBLICADO_EN,,,
152,48,70,PUBLICADO_EN,,,
153,49,70,PUBLICADO_EN,,,
154,7,59,MEMBER_OF,2019,,
155,8,62,MEMBER_OF,2022,,
156,6,60,MEMBER_OF,2023,,
157,1,71,MEMBER_OF,2024,,
